id,judul,daerah,pulau,kategori,tokoh,ringkasan,teks,nilai_moral,kata_kunci,sumber,lisensi
CR-001,Malin Kundang,Sumatera Barat,Sumatra,Legenda,Malin Kundang; Ibu; Pedagang,"Seorang pemuda miskin bernama Malin merantau dan menjadi kaya. Ia menyangkal ibunya saat pulang, lalu dikutuk menjadi batu sebagai pelajaran tentang bakti anak.","Di sebuah kampung pesisir di Sumatera Barat, tinggal Malin dan ibunya yang sederhana. 
Ketika dewasa, Malin berlayar mengikuti rombongan pedagang. Nasib baik berpihak padanya: 
ia bekerja keras, cerdas berdagang, hingga memiliki kapal dan istri dari keluarga terpandang. 
Suatu hari kapalnya berlabuh di kampung asal. Ibunya mengenalinya dan menyambut dengan haru. 
Namun, Malin malu mengakui ibu yang berpakaian lusuh itu di depan para awak dan istrinya. 
Ia mengusir sang ibu, menuduhnya memalukan. Hati sang ibu remuk; ia berdoa agar Tuhan memberi pelajaran. 
Langit menggelap, badai menggoncang. Petir menyambar, kapal pecah, dan Malin beserta hartanya terhempas. 
Ketika badai reda, di tepi pantai tampak batu besar menyerupai sosok berlutut—orang-orang menyebutnya Batu Malin Kundang. 
Sejak saat itu, anak-anak di kampung diajari untuk tidak durhaka kepada orang tua.",Bakti kepada orang tua; Rendah hati; Jangan congkak,pantai;batu kutukan;anak durhaka;minangkabau,Tradisi lisan Minangkabau,CC0 (retelling original)
CR-002,Asal-usul Danau Toba,Sumatera Utara,Sumatra,Legenda,Pemuda; Putri Ikan; Anak,"Seorang pemuda menikahi putri jelmaan ikan dengan syarat rahasia asal-usulnya tak diungkap. Ketika ia melanggar, kutukan memunculkan danau luas bernama Danau Toba.","Seorang pemuda penangkap ikan menemukan seekor ikan emas yang dapat berbicara. 
Ikan itu berubah menjadi gadis cantik yang mengakui dirinya terkutuk. Mereka menikah dengan satu syarat: 
sang pemuda tak boleh mengungkit asal-usul istrinya. Bertahun-tahun kemudian, lahirlah seorang anak yang rakus dan ceroboh. 
Saat emosi, sang ayah memaki, “Dasar anak ikan!” Melanggar janji itu mengguncang alam. 
Langit menurunkan hujan tak berkesudahan, bumi retak, air memancar dari segala arah. 
Sang ibu dan anaknya menghilang, sementara lembah berubah menjadi danau raksasa. 
Pulau kecil di tengahnya disebut Pulau Samosir. Orang-orang setempat percaya, tragedi itu mengajarkan manusia menepati janji, 
menahan amarah, dan menghormati keluarga—sebab kata-kata yang melukai dapat membawa bencana yang tak terbayangkan.",Menepati janji; Mengendalikan emosi; Menghormati keluarga,danau toba;pulau samosir;janji;kutukan,Tradisi lisan Batak,CC0 (retelling original)
CR-003,Sangkuriang (Legenda Gunung Tangkuban Parahu),Jawa Barat,Jawa,Legenda,Sangkuriang; Dayang Sumbi; Tumang,"Sangkuriang tak sadar jatuh cinta pada ibunya, Dayang Sumbi. Setelah identitas terungkap, ia menantang membuat perahu dan bendungan semalam; gagal, perahu ditendang hingga menjadi Gunung Tangkuban Parahu.","Dayang Sumbi hidup menyepi bersama anjing setianya, Tumang, yang sebenarnya jelmaan. 
Ia memiliki anak bernama Sangkuriang, pemuda tangguh namun ceroboh. 
Saat berburu, Sangkuriang memanah Tumang dan berbohong tentang kejadian itu. 
Marah, Dayang Sumbi memukul kepala Sangkuriang dan mengusirnya. 
Bertahun kemudian, mereka bertemu tanpa saling mengenal; Sangkuriang terpikat pada kecantikan Dayang Sumbi yang awet muda. 
Ketika melihat bekas luka di kepala Sangkuriang, Dayang Sumbi sadar itu putranya. 
Untuk menggagalkan lamaran, ia mengajukan syarat mustahil: membuat bendungan dan perahu raksasa sebelum fajar. 
Sangkuriang hampir berhasil, namun Dayang Sumbi menipu dengan menyingsingkan kain hingga ayam jantan berkokok. 
Murka, Sangkuriang menendang perahu yang belum jadi; perahu itu terbalik menjadi Gunung Tangkuban Parahu, 
mengingatkan manusia akan batas dan tabu yang harus dijaga.",Kejujuran; Menjaga batas; Menahan amarah,tangkuban parahu;dayang sumbi;tabu;gunung,Tradisi lisan Sunda,CC0 (retelling original)
CR-004,Timun Mas,Jawa Tengah,Jawa,Legenda,Timun Mas; Mbok Rondo; Buto Ijo,"Seorang janda mendapat benih timun dari raksasa dengan janji menyerahkan anaknya kelak. Saat raksasa menagih, Timun Mas melarikan diri dan menyelamatkan diri dengan empat benda penangkal.","Mbok Rondo merindukan anak. Seorang raksasa, Buto Ijo, memberi benih timun dengan syarat anak yang lahir harus diserahkan kelak. 
Dari timun emas lahirlah bayi perempuan yang diberi nama Timun Mas. 
Ketika dewasa, Buto Ijo datang menagih. Seorang pertapa menghadiahi Timun Mas empat benda: biji mentimun, jarum, garam, dan terasi. 
Dalam pengejaran, biji berubah hutan lebat, jarum menjadi bambu berduri, garam menjadi lautan, dan terasi menjadi lumpur panas—semuanya menghambat raksasa. 
Akhirnya Buto Ijo tenggelam dalam kubangan mendidih. Timun Mas kembali memeluk ibunya dan bebas dari perjanjian gelap. 
Cerita ini mengajarkan kecerdikan menghadapi bahaya dan keyakinan bahwa kasih sayang ibu-anak sanggup menaklukkan rintangan.",Kecerdikan; Keberanian; Kasih sayang keluarga,buto ijo;pengejaran;pertapa;empat benda,Tradisi lisan Jawa,CC0 (retelling original)
CR-005,Legenda Rawa Pening (Baru Klinting),Jawa Tengah,Jawa,Legenda,Baru Klinting; Nenek; Warga Desa,"Anak jelmaan naga dihinakan oleh warga desa. Setelah satu-satunya orang baik menolongnya, ia mencabut patok yang menenggelamkan desa dan membentuk Rawa Pening.","Seorang anak berkulit bersisik bernama Baru Klinting datang ke desa meminta makan. 
Warga yang tengah berpesta menolaknya mentah-mentah, kecuali seorang nenek miskin yang memberi bubur sederhana. 
Sebelum pergi, Baru Klinting menancapkan sebatang patok di tanah dan menantang warga untuk mencabutnya. 
Tak seorang pun mampu. Ia kembali, mencabut patok itu sendiri; air menyembur deras, menenggelamkan desa. 
Hanya gubuk sang nenek yang selamat, karena ketulusan hati. 
Genangan itu menjadi Rawa Pening yang kita kenal hari ini. 
Kisah ini mengingatkan agar tidak merendahkan orang yang berbeda rupa dan untuk selalu mengutamakan kebaikan hati, 
sebab kebaikan sekecil apa pun dapat menyelamatkan di saat bencana datang.",Empati; Kerendahan hati; Balasan atas kebaikan,rawa pening;baru klinting;empati;banjir,Tradisi lisan Jawa,CC0 (retelling original)
CR-006,Bawang Merah dan Bawang Putih,Riau (Melayu),Sumatra,Sage/Legenda,Bawang Putih; Bawang Merah; Ibu Tiri,"Gadis baik hati bernama Bawang Putih ditekan ibu tiri dan saudara tirinya. Kebaikan hati membawanya menemukan kebahagiaan, sementara keserakahan membawa celaka bagi yang jahat.","Sejak kecil Bawang Putih kehilangan ibu dan hidup bersama ayahnya, ibu tiri, serta Bawang Merah. 
Setelah ayahnya wafat, pekerjaan rumah menumpuk di pundaknya. Suatu hari kain yang sedang dicucinya hanyut; 
ia mengejar hingga bertemu nenek yang bersedia mengembalikan kain jika Bawang Putih membantu pekerjaan. 
Selesai membantu dengan tulus, ia dihadiahi labu kecil yang berisi emas. 
Mendengar itu, ibu tiri menyuruh Bawang Merah meniru, namun ia bekerja asal-asalan dan menuntut labu besar. 
Saat dibuka, labu itu berisi ular dan binatang berbisa. 
Bawang Putih akhirnya tinggal bersama nenek yang baik, sementara ibu tiri belajar pahitnya keserakahan. 
Cerita ini menegaskan bahwa ketulusan dan kerja keras akan berbuah kebaikan pada waktunya.",Ketulusan; Kerja keras; Anti keserakahan,ibu tiri;labu emas;balasan;melayu,Tradisi lisan Melayu,CC0 (retelling original)
CR-007,Jaka Tarub dan Nawang Wulan,Jawa (tengah/umum),Jawa,Legenda,Jaka Tarub; Nawang Wulan; Bidadari,"Jaka Tarub mencuri selendang bidadari agar ia tak dapat kembali ke kahyangan. Mereka menikah, tetapi rahasia itu akhirnya terbongkar dan Nawang Wulan pulang meninggalkan dunia manusia.","Jaka Tarub menemukan tujuh bidadari mandi di telaga. Ia menyembunyikan selendang salah satunya, Nawang Wulan. 
Tak bisa kembali ke kahyangan, Nawang Wulan menikah dengan Jaka Tarub dan hidup sederhana. 
Ia memiliki cara ajaib menanak sebutir padi menjadi sepanci nasi, dengan syarat jangan pernah membuka tutup kukusan sebelum matang. 
Karena penasaran, Jaka Tarub melanggar pantangan. 
Sejak itu keajaiban lenyap; hidup mereka menjadi berat dan persediaan beras menipis. 
Saat Nawang Wulan menemukan selendangnya yang disembunyikan, ia sedih sekaligus lega. 
Ia berpamitan pulang ke kahyangan, menitipkan anak mereka dan berjanji menengok lewat cahaya bulan. 
Kisah ini mengajarkan pentingnya kejujuran dan menahan rasa ingin tahu yang berlebihan.",Kejujuran; Menghormati rahasia; Menahan rasa ingin tahu,bidadari;selendang;pantangan;telaga,Tradisi lisan Jawa,CC0 (retelling original)
CR-008,Keong Mas,Jawa Timur (keraton Panjalu),Jawa,Legenda,Dewi Candra Kirana; Keong Mas; Inggid,"Seorang putri dikutuk menjadi keong dan akhirnya kembali ke wujud aslinya berkat kebaikan seorang nenek, lalu bersatu kembali dengan kekasihnya.","Putri Candra Kirana difitnah hingga terusir dari keraton. Di tengah pelarian, sihir jahat mengubahnya menjadi seekor keong berkilau. 
Nelayan membawa keong itu pulang dan memberikannya pada seorang nenek. 
Setiap nenek pergi, keong berubah menjadi putri yang memasak dan membersihkan rumah, lalu kembali menjadi keong sebelum tuannya pulang. 
Nenek curiga dan mengintip, lalu menolong sang putri. 
Kabar kecantikan dan kebaikan Candra Kirana sampai kepada Raden Inu Kertapati yang selama ini mencarinya. 
Kutuk pun patah oleh ketulusan dan cinta yang setia. 
Mereka kembali ke kerajaan, mengungkap fitnah, dan memaafkan dengan bijaksana. 
Cerita ini menekankan kesetiaan, ketabahan, dan balasan bagi hati yang jernih.",Kesetiaan; Ketabahan; Kebaikan membalas kebaikan,cinta;kutukan;nenek baik;keraton,Tradisi lisan Jawa Timur,CC0 (retelling original)
CR-009,Kebo Iwa,Bali,Bali,Legenda Sejarah,Kebo Iwa; Raja Majapahit,"Raksasa baik hati dari Bali bernama Kebo Iwa dimanfaatkan dan dikhianati, lalu gugur. Namanya dikenang sebagai pelindung rakyat yang pantang berhianat pada tanah kelahiran.","Kebo Iwa adalah lelaki raksasa dari Bali yang kuat sekaligus lembut hatinya. 
Ia membangun irigasi, menggali sumur, dan menolong rakyat. 
Ketika Majapahit berniat menaklukkan Bali, mereka menyusun siasat: memuji Kebo Iwa, memberi makan, lalu meminta ia menggali sumur raksasa. 
Saat tubuhnya letih di dasar sumur, pasukan menimbun batu dan tanah. 
Bali berduka, namun jasa Kebo Iwa tak terlupa—irigasi yang ia buat tetap menghidupi sawah. 
Kisah ini menegaskan bahwa kekuatan sejati adalah melindungi, bukan menindas; dan pengkhianatan pada kebaikan akan dikenang sebagai aib.",Pengabdian; Keadilan; Melawan pengkhianatan,bali;irigasi;majapahit;pengorbanan,Tradisi lisan Bali,CC0 (retelling original)
CR-010,Putri Mandalika (Bau Nyale),Nusa Tenggara Barat,Lombok,Legenda,Putri Mandalika; Para Pangeran; Rakyat Sasak,Putri Mandalika memilih mengorbankan diri ke laut agar tidak terjadi perang perebutan. Ia dipercaya menjelma menjadi nyale (cacing laut) yang dipanen tiap tahun.,"Putri Mandalika terkenal elok dan bijak. Banyak pangeran meminangnya, dan perebutan hampir memicu perang antar-kerajaan di Lombok. 
Pada hari pemilihan, Mandalika berdiri di tebing Pantai Seger. 
Ia berpidato bahwa cintanya adalah untuk rakyat, bukan untuk perang. 
Lalu ia meloncat ke laut, mengorbankan diri demi kedamaian. 
Ombak menenangkan, dan dari karang muncul nyale—cacing laut yang melimpah pada musim tertentu. 
Orang Sasak percaya, nyale adalah wujud cinta Mandalika yang menyatu dengan alam, memberi berkah pada rakyat. 
Upacara Bau Nyale digelar tiap tahun untuk mengenang pesan damai dan pengorbanan sang putri.",Pengorbanan; Cinta damai; Kepemimpinan,bau nyale;pantai seger;lombok;perdamaian,Tradisi lisan Sasak,CC0 (retelling original)
